25

2

1

1000

960

0 42 15 10 477 717 10
1 22 85 10 411 651 10
2 38 5 30 141 381 10
3 40 5 10 155 395 10
4 35 5 20 664 904 10
5 0 40 20 195 435 10
6 5 35 10 593 833 10
7 20 80 40 584 824 10
8 42 10 40 194 434 10
9 25 85 20 613 853 10
10 0 45 20 643 883 10
11 18 75 20 328 568 10
12 38 15 10 621 861 10
13 20 85 20 40 280 10
14 22 75 30 92 332 10
15 2 40 20 114 354 10
16 5 45 10 35 275 10
17 8 45 20 163 403 10
18 10 35 20 311 551 10
19 10 40 30 459 699 10
20 15 80 10 307 547 10
21 40 15 40 315 555 10
22 44 5 20 275 515 10
23 8 40 40 135 375 10
24 15 75 20 240 480 10
25 40 50 0 0 960 0

2
