100

1

3

1000

960

0 5 5 16 172 412 10
1 53 43 14 14 254 10
2 63 23 2 284 524 10
3 38 5 30 141 381 10
4 45 65 9 198 438 10
5 65 35 3 107 347 10
6 88 35 20 105 345 10
7 65 20 6 39 279 10
8 62 80 30 218 458 10
9 49 42 13 659 899 10
10 35 69 23 690 930 10
11 27 43 9 92 332 10
12 10 20 19 42 282 10
13 65 82 10 497 737 10
14 37 47 6 299 539 10
15 0 40 20 195 435 10
16 24 58 19 200 440 10
17 20 20 8 585 825 10
18 15 60 17 634 874 10
19 22 85 10 411 651 10
20 56 37 6 40 280 10
21 25 85 20 613 853 10
22 8 56 27 305 545 10
23 47 47 13 702 942 10
24 35 40 16 11 251 10
25 23 3 7 660 900 10
26 58 75 20 316 556 10
27 31 52 27 97 337 10
28 55 20 19 266 506 10
29 2 45 10 45 285 10
30 61 52 3 688 928 10
31 5 35 10 593 833 10
32 85 35 30 427 667 10
33 18 80 10 429 669 10
34 42 10 40 194 434 10
35 95 35 20 86 326 10
36 88 30 10 186 426 10
37 45 30 17 131 371 10
38 67 85 20 597 837 10
39 49 58 10 295 535 10
40 42 15 10 477 717 10
41 55 82 10 157 397 10
42 55 60 16 541 781 10
43 55 85 20 514 754 10
44 40 5 10 155 395 10
45 30 60 16 539 779 10
46 20 80 40 584 824 10
47 65 55 14 181 421 10
48 8 45 20 163 403 10
49 10 40 30 459 699 10
50 50 35 19 497 737 10
51 2 40 20 114 354 10
52 10 35 20 311 551 10
53 55 54 26 502 742 10
54 6 68 30 292 532 10
55 25 30 3 115 355 10
56 44 5 20 275 515 10
57 92 30 10 89 329 10
58 42 12 10 380 620 10
59 5 45 10 35 275 10
60 0 45 20 643 883 10
61 38 15 10 621 861 10
62 37 31 14 45 285 10
63 95 30 30 469 709 10
64 57 29 18 335 575 10
65 2 60 5 226 466 10
66 22 75 30 92 332 10
67 41 37 16 506 746 10
68 72 35 30 447 687 10
69 8 40 40 135 375 10
70 4 18 35 487 727 10
71 20 50 5 315 555 10
72 65 85 40 43 283 10
73 87 30 10 561 801 10
74 64 42 9 208 448 10
75 60 85 30 269 509 10
76 26 52 9 112 352 10
77 60 80 10 36 276 10
78 26 35 15 248 488 10
79 20 85 20 40 280 10
80 15 75 20 240 480 10
81 15 10 20 662 902 10
82 40 60 21 552 792 10
83 90 35 10 134 374 10
84 35 5 20 664 904 10
85 40 15 40 315 555 10
86 30 25 23 337 577 10
87 42 5 10 664 904 10
88 12 24 13 299 539 10
89 18 75 20 328 568 10
90 60 12 31 208 448 10
91 31 67 3 690 930 10
92 63 65 8 27 267 10
93 67 5 25 653 893 10
94 20 82 10 37 277 10
95 57 48 23 332 572 10
96 21 24 28 289 529 10
97 55 80 10 33 273 10
98 85 25 10 51 291 10
99 15 80 10 307 547 10
100 40 50 0 0 960 0
101 40 50 0 0 960 0
102 40 50 0 0 960 0

1
