50

3

2

1000

960

0 85 25 10 80 200 10
1 38 15 10 681 801 10
2 65 85 40 43 163 10
3 72 35 30 0 914 10
4 40 15 40 375 495 10
5 15 80 10 367 487 10
6 15 75 20 0 914 10
7 35 5 20 784 904 10
8 2 45 10 105 225 10
9 0 40 20 255 375 10
10 95 35 20 146 266 10
11 55 82 10 217 337 10
12 60 85 30 329 449 10
13 8 40 40 195 315 10
14 8 45 20 0 917 10
15 18 80 10 489 609 10
16 20 82 10 37 157 10
17 42 10 40 254 374 10
18 60 80 10 64 184 10
19 88 35 20 0 899 10
20 88 30 10 246 366 10
21 58 75 20 376 496 10
22 42 15 10 537 657 10
23 18 75 20 388 508 10
24 42 5 10 0 904 10
25 90 35 10 194 314 10
26 62 80 30 278 398 10
27 67 85 20 657 777 10
28 38 5 30 201 321 10
29 20 80 40 644 764 10
30 42 12 10 440 560 10
31 10 35 20 371 491 10
32 40 5 10 0 905 10
33 25 85 20 0 911 10
34 55 80 10 33 153 10
35 5 45 10 35 155 10
36 87 30 10 621 741 10
37 0 45 20 703 823 10
38 22 75 30 0 919 10
39 65 82 10 0 909 10
40 92 30 10 149 269 10
41 2 40 20 174 294 10
42 55 85 20 574 694 10
43 44 5 20 335 455 10
44 85 35 30 0 902 10
45 95 30 30 0 891 10
46 20 85 20 0 909 10
47 10 40 30 519 639 10
48 5 35 10 653 773 10
49 22 85 10 0 910 10
50 40 50 0 0 960 0
51 40 50 0 0 960 0

3
