50

3

2

1000

960

0 88 30 10 246 366 10
1 55 82 10 217 337 10
2 60 80 10 64 184 10
3 20 85 20 73 193 10
4 15 75 20 300 420 10
5 88 35 20 165 285 10
6 20 82 10 37 157 10
7 22 85 10 471 591 10
8 5 45 10 35 155 10
9 18 75 20 388 508 10
10 42 15 10 537 657 10
11 95 35 20 146 266 10
12 60 85 30 329 449 10
13 65 85 40 43 163 10
14 87 30 10 621 741 10
15 62 80 30 278 398 10
16 55 80 10 33 153 10
17 0 45 20 703 823 10
18 40 5 10 215 335 10
19 25 85 20 673 793 10
20 5 35 10 653 773 10
21 8 40 40 195 315 10
22 0 40 20 255 375 10
23 65 82 10 557 677 10
24 42 10 40 254 374 10
25 58 75 20 376 496 10
26 35 5 20 784 904 10
27 67 85 20 657 777 10
28 90 35 10 194 314 10
29 18 80 10 489 609 10
30 10 40 30 519 639 10
31 10 35 20 371 491 10
32 44 5 20 335 455 10
33 95 30 30 529 649 10
34 92 30 10 149 269 10
35 42 5 10 732 852 10
36 22 75 30 152 272 10
37 72 35 30 507 627 10
38 40 15 40 375 495 10
39 55 85 20 574 694 10
40 38 15 10 681 801 10
41 42 12 10 440 560 10
42 2 40 20 174 294 10
43 15 80 10 367 487 10
44 2 45 10 105 225 10
45 38 5 30 201 321 10
46 8 45 20 223 343 10
47 20 80 40 644 764 10
48 85 35 30 487 607 10
49 85 25 10 80 200 10
50 40 50 0 0 960 0
51 40 50 0 0 960 0

3
